SITENO,SITENAME,CATEGORY,AGENCY,LONGDD,LATDD,SITEURL
3204250,"MUD RIVER AT PALERMO, WV",LK,USGS,-82.0586111,38.165,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03204250
3204346,"MIDDLE FORK MUD RIVER NEAR GRIFFITHSVILLE, WV",ST,USGS,-82.0401667,38.25441667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03204346
3203647,"ISLAND CREEK AT ROUTE 44 AT LOGAN, WV",ST,USGS,-82.00988889,37.84494444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03203647
3201405,"HURRICANE CREEK AT HURRICANE, WV",ST,USGS,-82.0068032,38.4453673,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03201405
3203600,"GUYANDOTTE RIVER AT LOGAN, WV",ST,USGS,-81.9759574,37.84232616,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03203600
3203000,"GUYANDOTTE RIVER AT MAN, WV",ST,USGS,-81.8767857,37.740385,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03203000
3213500,"PANTHER CREEK NEAR PANTHER, WV",ST,USGS,-81.8711111,37.44555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03213500
3473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",ST,USGS,-81.8440102,36.65178127,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03473000
3200500,"COAL RIVER AT TORNADO, WV",ST,USGS,-81.841518,38.33898309,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03200500
3213000,"TUG FORK AT LITWAR, WV",ST,USGS,-81.8383056,37.47927778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03213000
3199000,"LITTLE COAL RIVER AT DANVILLE, WV",ST,USGS,-81.8365,38.07977778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03199000
3202928,"LITTLE HUFF CR AT LITTLE CUB CR RD AT HANOVER, WV",ST,USGS,-81.8215,37.5852222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03202928
3475000,"M F HOLSTON RIVER NEAR MEADOWVIEW, VA",ST,USGS,-81.8187334,36.7131694,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03475000
3201100,"MANILA CREEK NEAR BANCROFT, WV",ST,USGS,-81.80888889,38.5186111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03201100
3212980,"DRY FORK AT BEARTOWN, WV",ST,USGS,-81.8026142,37.39538968,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03212980
3488000,"N F HOLSTON RIVER NEAR SALTVILLE, VA",ST,USGS,-81.7462293,36.89678115,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03488000
3520968,"INDIAN CREEK ABOVE RT 631 NEAR CEDAR BLUFF, VA",ST,USGS,-81.74094679,37.09511418,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03520968
3520981,"INDIAN CREEK TRIBUTARY AB MOUTH NR CEDAR BLUFF, VA",ST,USGS,-81.7384468,37.0923364,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03520981
3520980,"INDIAN CREEK TRIB ALONG RT 631 NR CEDAR BLUFF, VA",ST,USGS,-81.7367801,37.09316977,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03520980
3198500,"BIG COAL RIVER AT ASHFORD, WV",ST,USGS,-81.7115106,38.1798222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03198500
3202750,"CLEAR FORK AT CLEAR FORK, WV",ST,USGS,-81.7073342,37.62316608,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03202750
3198000,"KANAWHA RIVER AT CHARLESTON, WV",ST,USGS,-81.7020701,38.37148448,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03198000
3159718,"GRASSLICK CREEK TRIB AB I-77 NEAR FAIRPLAIN, WV",ST,USGS,-81.6553611,38.7263611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03159718
3202480,"BRIER CREEK AT FANROCK, WV",ST,USGS,-81.6523317,37.5634451,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03202480
3202400,"GUYANDOTTE RIVER NEAR BAILEYSVILLE, WV",ST,USGS,-81.6451096,37.60400034,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03202400
319382976,"KANAWHA RIVER AT S SIDE BRIDGE AT CHARLESTON, WV",ST,USGS,-81.63638889,38.3472222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0319382976
3201000,"POCATALICO RIVER AT SISSONVILLE, WV",ST,USGS,-81.6312379,38.52620409,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03201000
3471500,"S F HOLSTON RIVER AT RIVERSIDE, NEAR CHILHOWIE, VA",ST,USGS,-81.63122929,36.7603931,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03471500
3197950,"ELK RIVER AT CHARLESTON, WV",ST,USGS,-81.627068,38.3581527,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03197950
3474000,"M F HOLSTON RIVER AT SEVEN MILE FORD, VA",ST,USGS,-81.6220617,36.80733756,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03474000
3212750,"TUG FORK DOWNSTREAM OF ELKHORN CREEK AT WELCH, WV",ST,USGS,-81.5998295,37.44122439,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03212750
3197939,"ELK TWOMILE CREEK NEAR CHARLESTON, WV",ST,USGS,-81.5943056,38.35905556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03197939
3202300,"GUYANDOTTE RIVER AT PINEVILLE, WV",ST,USGS,-81.5371111,37.5818611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03202300
3198350,"CLEAR FORK AT WHITESVILLE, WV",ST,USGS,-81.524278,37.9662186,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03198350
3197910,"UNNAMED TRIB TO ELK TWOMILE CR NR CHARLESTON, WV",LK,USGS,-81.5128611,38.36088889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03197910
3197790,"LITTLE SANDY CREEK NEAR ELKVIEW,WV",ST,USGS,-81.5011944,38.45594444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03197790
3197445,"BIG SANDY CREEK BL LT HAND CREEK NR CLENDENIN, WV",ST,USGS,-81.3476944,38.5227222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03197445
3473500,"M F HOLSTON RIVER AT GROSECLOSE, VA",ST,USGS,-81.34732718,36.888729,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03473500
3177710,"BLUESTONE RIVER AT FALLS MILLS, VA",ST,USGS,-81.3048227,37.27150554,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03177710
3197000,"ELK RIVER AT QUEEN SHOALS, WV",ST,USGS,-81.2840057,38.47093228,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03197000
3193000,"KANAWHA RIVER AT KANAWHA FALLS, WV",ST,USGS,-81.2142745,38.1381632,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03193000
3192000,"GAULEY RIVER ABOVE BELVA, WV",ST,USGS,-81.1809415,38.2334395,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03192000
3178150,"MIDDLE FORK BRUSH CREEK AT EDISON, WV",LK,USGS,-81.1648167,37.3062288,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03178150
3185000,"PINEY CREEK AT RALEIGH, WV",ST,USGS,-81.1623212,37.7606708,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03185000
3178179,"BRUSH CREEK NEAR PRINCETON, WV",ST,USGS,-81.1440833,37.33663889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03178179
3.81E+14,"NEW RIVER BELOW HAWKS NEST DAM, WV",ST,USGS,-81.14232689,38.11372008,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=380649081083301
3178000,"BLUESTONE R NR SPANISHBURG, WV",ST,USGS,-81.11,37.4334722,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03178000
3178120,"CAMP CREEK AT HWY 19 NEAR CAMP CREEK, WV",ST,USGS,-81.10188889,37.49227778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03178120
3197062,"COOKMAN FORK AT INTERSTATE 79 NEAR WALLBACK, WV",ST,USGS,-81.0879722,38.59,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03197062
3196800,"ELK RIVER AT CLAY, WV",ST,USGS,-81.0876087,38.46065656,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03196800
3185400,"NEW RIVER AT THURMOND, WV",ST,USGS,-81.07648838,37.95511285,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03185400
3191500,"PETERS CREEK NEAR LOCKWOOD, WV",ST,USGS,-81.0231111,38.2646111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03191500
3179000,"BLUESTONE RIVER NEAR PIPESTEM, WV",ST,USGS,-81.0103678,37.54400779,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03179000
3190307,"HEDRICKS CREEK TRIBUTARY ABOVE US-19 NEAR HICO, WV",ST,USGS,-80.9924722,38.12255556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03190307
3164000,"NEW RIVER NEAR GALAX, VA",ST,USGS,-80.978969,36.6473497,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03164000
3177100,"PAYNE BRANCH NEAR OAKVALE, WV",ST,USGS,-80.9775852,37.35789738,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03177100
3165500,"NEW RIVER AT IVANHOE, VA",ST,USGS,-80.9525807,36.83484534,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03165500
3165000,"CHESTNUT CREEK AT GALAX, VA",ST,USGS,-80.9192444,36.6459613,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03165000
3184500,"NEW RIVER AT HINTON, WV",ST,USGS,-80.8925874,37.6703969,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03184500
3189600,"GAULEY RIVER BELOW SUMMERSVILLE DAM, WV",ST,USGS,-80.8881536,38.2151103,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03189600
3167000,"REED CREEK AT GRAHAMS FORGE, VA",ST,USGS,-80.8872997,36.93900995,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03167000
3179800,"BLUESTONE LAKE NEAR HINTON, WV",LK,USGS,-80.8861976,37.64067498,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03179800
3177120,"EAST RIVER AT WILLOWTON, WV",ST,USGS,-80.8860833,37.3485,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03177120
3196600,"ELK RIVER NEAR FRAMETOWN, WV",ST,USGS,-80.8845474,38.59232159,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03196600
3190000,"MEADOW RIVER AT NALLEN, WV",ST,USGS,-80.8762069,38.1126125,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03190000
3176500,"NEW RIVER AT GLEN LYN, VA",ST,USGS,-80.8606347,37.3728986,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03176500
3175500,"WOLF CREEK NEAR NARROWS, VA",ST,USGS,-80.8497993,37.30567654,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03175500
3190100,"ANGLINS CREEK NEAR NALLEN, WV",ST,USGS,-80.8367619,38.1412237,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03190100
3176400,"RICH CREEK NEAR PETERSTOWN, WV",ST,USGS,-80.8053546,37.40012139,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03176400
3184000,"GREENBRIER RIVER AT HILLDALE, WV",ST,USGS,-80.805083,37.64012018,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03184000
3196500,"BIRCH RIVER AT HEROLD, WV",ST,USGS,-80.8009334,38.5748233,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03196500
3177480,"INDIAN CREEK AT RED SULPHUR SPRINGS, WV",ST,USGS,-80.7701944,37.52925,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03177480
318989690,"SEWELL CREEK AB LTL SEWELL CREEK AT RAINELLE, WV",ST,USGS,-80.7686944,37.9695833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0318989690
3168000,"NEW RIVER AT ALLISONIA, VA",ST,USGS,-80.7456257,36.93762235,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03168000
3189863,"MEADOW RIVER NEAR HINES, WV",ST,USGS,-80.7231111,37.9848333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03189863
3195500,"ELK RIVER AT SUTTON, WV",ST,USGS,-80.7095413,38.66315555,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03195500
3173000,"WALKER CREEK AT BANE, VA",ST,USGS,-80.7095125,37.26817845,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03173000
3183567,"WOLF CREEK NEAR ALDERSON, WV",ST,USGS,-80.66713889,37.6970833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03183567
3183500,"GREENBRIER RIVER AT ALDERSON, WV",ST,USGS,-80.641468,37.7242874,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03183500
3189100,"GAULEY RIVER NEAR CRAIGSVILLE, WV",ST,USGS,-80.6409242,38.29094494,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03189100
317159760,"LITTLE STONY CREEK BL ARCHER TRAIL NR PEMBROKE, VA",ST,USGS,-80.6245556,37.33955556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=0317159760
3171597,"LITTLE STONY CREEK AB ARCHER TRAIL NR PEMBROKE, VA",ST,USGS,-80.6195556,37.34316667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03171597
3187000,"GAULEY RIVER AT CAMDEN ON GAULEY, WV",ST,USGS,-80.6009232,38.36594285,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03187000
3151550,"SALTLICK CREEK NEAR FLATWOODS, WV",LK,USGS,-80.5952778,38.73194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=03151550
